Region,Country,Year,Nationality wise number of Foreign Tourists Arrivals (FTAs) in India (UOM:Number) |Scaling Factor:1,Nationality wise average duration of stay by Foreign Tourists Arrivals (FTAs) in India (UOM:Day) |Scaling Factor:1
Western Europe,Austria,"Calendar Year (Jan - Dec), 2020",9182.0,21.0
Western Europe,Belgium,"Calendar Year (Jan - Dec), 2020",11022.0,24.4
Western Europe,Denmark,"Calendar Year (Jan - Dec), 2020",8252.0,18.4
Western Europe,Finland,"Calendar Year (Jan - Dec), 2020",4310.0,19.4
Western Europe,France,"Calendar Year (Jan - Dec), 2020",74243.0,21.9
Western Europe,Germany,"Calendar Year (Jan - Dec), 2020",72558.0,18.3
Western Europe,Greece,"Calendar Year (Jan - Dec), 2020",2854.0,17.0
Western Europe,Ireland,"Calendar Year (Jan - Dec), 2020",9708.0,23.5
Western Europe,Italy,"Calendar Year (Jan - Dec), 2020",31186.0,23.3
Western Europe,Netherlands,"Calendar Year (Jan - Dec), 2020",26258.0,15.7
Western Europe,Norway,"Calendar Year (Jan - Dec), 2020",6224.0,20.5
Western Europe,Others,"Calendar Year (Jan - Dec), 2020",4937.0,23.5
Western Europe,Portugal,"Calendar Year (Jan - Dec), 2020",31005.0,47.9
Western Europe,Spain,"Calendar Year (Jan - Dec), 2020",16335.0,26.0
Western Europe,Sweden,"Calendar Year (Jan - Dec), 2020",11992.0,23.5
Western Europe,Switzerland,"Calendar Year (Jan - Dec), 2020",12675.0,18.7
Western Europe,United Kingdom,"Calendar Year (Jan - Dec), 2020",291874.0,26.0
Eastern Europe,Czech Republic,"Calendar Year (Jan - Dec), 2020",3607.0,20.4
Eastern Europe,Hungary,"Calendar Year (Jan - Dec), 2020",2964.0,18.5
Eastern Europe,Kazakhstan,"Calendar Year (Jan - Dec), 2020",5918.0,16.4
Eastern Europe,Others,"Calendar Year (Jan - Dec), 2020",30710.0,14.2
Eastern Europe,Poland,"Calendar Year (Jan - Dec), 2020",12161.0,15.1
Eastern Europe,Russian Federation,"Calendar Year (Jan - Dec), 2020",102166.0,16.4
Eastern Europe,Ukraine,"Calendar Year (Jan - Dec), 2020",10619.0,23.9
Africa,Egypt,"Calendar Year (Jan - Dec), 2020",4886.0,13.4
